[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/lxml/etree.cpython-39-x86_64-linux-gnu.so first seen with mtime 1673349323.7478423
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1673344757.7008007
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/string.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/MySQLdb/release.py first seen with mtime 1673348430.6974456
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/contrib/auth/migrations/__init__.py first seen with mtime 1673344757.7008007
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/managing_director/views.py first seen with mtime 1614039124.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/db/migrations/executor.py first seen with mtime 1673344758.0288496
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/utils/termcolors.py first seen with mtime 1673344758.0688555
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/lib-dynload/_json.cpython-39-x86_64-linux-gnu.so first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/urllib/response.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/docx/package.py first seen with mtime 1673349323.9674127
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/cryptography/hazmat/backends/openssl/ciphers.py first seen with mtime 1673349397.563304
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/utils/_os.py first seen with mtime 1673344758.064855
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/template/library.py first seen with mtime 1673344758.0568538
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/zipfile.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/docx/section.py first seen with mtime 1673349323.9674127
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/importlib/__init__.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/docx/oxml/section.py first seen with mtime 1673349323.9913657
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/asyncio/futures.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/utils/timezone.py first seen with mtime 1673344758.0688555
